Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
record_id,patient_registration,,number,Record ID,,,,,,,,,,,,
consent_registry,patient_registration,,checkbox,"I confirm that patient consent has been obtained which allows the processing of this pseudonymized clinical information within RADeep 
","1, Yes",,,,,,,y,,,,
date_of_birth,patient_registration,,text,Patient's date of birth,,,date_dmy,01/01/1930,today,y,,y,,,,
gender,patient_registration,,dropdown,Patient's sex at birth,"1, Male | 2, Female | 3, Undetermined | 4, Foetus (unknown)",,,,,y,,y,,,,
orpha_code_id,diagnosis,,dropdown,Diagnosis retained by the specialised centre,"1, Alpha-thalassemia (ORPHA_846) | 2, Beta-thalassemia (ORPHA_848) | 5, Constitutional dyserythropoietic anemia (ORPHA_293830) | 6, Hemoglobin C disease (ORPHA_2132) | 7, Hemoglobin E disease (ORPHA_2133) | 8, Hemoglobinopathy with altered affinity (ORPHA_RAD001) | 9, Hereditary methemoglobinemia (ORPHA_621) | 11, Rare constitutional hemolytic anemia due to a red cell membrane anomaly (ORPHA_98364) | 13, Sickle cell disease and related diseases (ORPHA_275752) | 15, Unstable hemoglobin disease (ORPHA_99139)",,,,,,,y,,,,
patient_status,annual_update_general_information,,dropdown,Patient status at follow-up,"1, Alive | 2, Dead | 3, Opted-out | 4, Lost in follow-up",,,,,,,y,,,,
transfusion_status_present,treatments,"<div class=""rich-text-field-label""><h6><span style=""color: #000000;"">Blood transfusion</span></h6></div>",dropdown, Does the patient require regular or occasional transfusions in the present (in the last 12 months) ?,"1, Yes (Regular) | 2, Yes (Occasional) | 0, No | 999, Unknown",,,,,,,y,,,,
varsid_hbb_a1,diagnosis,"<div class=""rich-text-field-label""><h6><strong>Causative genes data row 1</strong></h6></div>",dropdown,HBB Allele 1,"1, b+|2, b++|3,b0",,,,,,,,,,,
varsid_hbb_a2,diagnosis,,dropdown,HBB Allele 2,"1, b+|2, b++|3,b0",,,,,,,,,,,
varsid_hba_a1,diagnosis,,dropdown,HBA Allele 1,"1, a+|2,a0",,autocomplete,,,,[gene_type(1)] = '0' AND [method_of_diagnosis(3)] = '1',,,,,
varsid_hba_a2,diagnosis,,dropdown,HBA Allele 2,"1, a+|2,a0",,autocomplete,,,,[gene_type(1)] = '0' AND [method_of_diagnosis(3)] = '1',,,,,
cardiac_t2,clinical_manifestations,,text,Cardiac iron T2*  (milisec),,,number,0,100,,,,,,,
endo_hypopit,medical_history,,dropdown,Hypopituitarism,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
chelation_treat,treatments,"<div class=""rich-text-field-label""><h6><span style=""color: #000000;"">Chelation</span></h6></div>",dropdown,Is the patient on chelation treatment ?,"1, Yes | 0, No | 999, Unknown",,,,,,,y,,,,
hydroxyurea_treatment,treatments,"<div class=""rich-text-field-label""><h6>Hydroxyurea</h6></div>",dropdown,Is the patient on hydroxyurea treatment (present time) ?,"1, Yes | 0, No | 999, Unknown",,,,,,,y,,,,
was_pregnant,medical_history,"<div class=""rich-text-field-label""><h6><strong>Offspring</strong></h6> <p>If you are completing this form for the first time, please report information for all past pregnancies. For additional follow-ups, provide the information for pregnancies in the last 12 months only.</p> <p> </p></div>",dropdown,Is the patient infertile?,"1, Yes | 0, No | 999, Unknown",,,,,,,y,,,,
lkd_ac_vir_hepat,medical_history,,dropdown,Acute viral hepatitis,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
endo_vit_d_def,medical_history,,dropdown,Vitamin D deficiency,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
liver_mri_t2,clinical_manifestations,,text,Liver MRI T2* (milisec),,,number,0,100,,,,,,,
lkd_cirrhosis,medical_history,,dropdown,Cirrhosis,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
bc_osteoporosis,medical_history,,dropdown,Osteoporosis,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
bc_osteopenia,medical_history,,dropdown,Osteopenia,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
cpd_ac_chest_syn,medical_history,,dropdown,Acute chest syndrome,"1, Yes, confirmed | 3, Clinical suspicion | 0, No | 999, Unknown",,,,,,,y,,,,
ferritin_result,diagnosis_lab_tests_in_the_past_12_months,,text,Ferritin serum (ng/mL / µg/L),,,number,1,10000,,[ferritin_performed] = '1',y,,,,
iron_result,diagnosis_lab_tests_in_the_past_12_months,,text,Serum iron (μg/dL),,,number,1,1000,,[iron_performed] = '1',y,,,,
drug_compliance,treatments,,dropdown,Drug compliance,"1, Excellent (>80% of recommended dose) | 2, Good (80-60 % of recommended dose) | 3, Poor (< 60% of recommended dose) | 999, Unknown",,,,,,[chelation_treat] = '1',,,,,
splenectomy,clinical_manifestations,,dropdown,Has the spleen been removed ?,"1, Yes, totally | 2, Yes, partially | 0, No | 999, Unknown",,,,,,,y,,,,
